JUDUL,PENULIS,RATING_AVG,TOTAL_RATINGS,TOTAL_REVIEWS,GENRES,PENERBIT,TAHUN_TERBIT,NAMA_FILE_GAMBAR,warna_h,warna_s,warna_v,warna_r,warna_g,warna_b,warna_kategori,warna_hex_dominan,POPULARITY_SCORE
Remember When,Winna Efendi,3.84,5617.0,423.0,"Roman, Sastra Indonesia, Remaja, Fiksi, Novel, Persahabatan, Indonesian Literature",Gagas Media,2011,2011_Gagas_Media_Remember_When.jpg,,,,,,,,,3.8802665908848617
Refrain,Winna Efendi,3.87,7094.0,560.0,"Roman, Sastra Indonesia, Novel, Fiksi, Remaja, Persahabatan, Indonesian Literature",Gagas Media,2009,2009_Gagas_Media_Refrain.jpg,,,,,,,,,3.880703609680576
Melbourne: Rewind,Winna Efendi,3.86,2736.0,323.0,"Roman, Sastra Indonesia, Fiksi, Novel, Remaja, Drama, Dewasa, Indonesian Literature",Gagas Media,2013,2013_Gagas_Media_Melbourne_Rewind.jpg,,,,,,,,,3.880818693108568
Happily Ever After,Winna Efendi,4.06,1091.0,195.0,"Roman, Remaja, Keluarga, Sastra Indonesia, Fiksi, Novel, Drama, Indonesian Literature",GagasMedia,2014,2014_GagasMedia_Happily_Ever_After.jpg,,,,,,,,,3.881579481026256
All That is Lost Between Us,Winna Efendi,4.05,305.0,90.0,"Roman, Fiksi, Novel, Sastra Indonesia, Kesempatan Kedua, Dewasa, Remaja, Indonesian Literature",Gramedia Pustaka Utama,2021,2021_Gramedia_Pustaka_Uta_All_That_is_Lost_Between_Us.jpg,,,,,,,,,3.9677214040687767
Ai: Cinta Tak Pernah Lelah Menanti,Winna Efendi,3.77,2995.0,269.0,"Roman, Novel, Sastra Indonesia, Fiksi, Remaja, Persahabatan, Jepang, Indonesian Literature",GagasMedia,2013,2013_GagasMedia_Ai_Cinta_Tak_Pernah_Lelah_Mena.jpg,,,,,,,,,3.880200667357496
Legenda Perompak Naga: Seni Membangunkan Naga dari Laut,Wisnu Suryaning Adji,4.0,149.0,60.0,"Fantasi, Sastra Indonesia, Remaja, Petualangan, Indonesian Literature",Storial Publishing,2021,2021_Storial_Publishing_Legenda_Perompak_Naga_Seni_Mem.jpg,,,,,,,,,3.921433986007691
Legenda Perompak Naga: Reinkarnasi Burung Langit,Wisnu Suryaning Adji,4.52,33.0,13.0,"Fantasi, Sastra Indonesia, Indonesian Literature",Storial Publishing,2022,2022_Storial_Publishing_Legenda_Perompak_Naga_Reinkarn.jpg,,,,,,,,,3.9464032408622822
Rumah Bambu: Kumpulan Cerpen Pertama dan Terakhir,Y.B. Mangunwijaya,3.7,761.0,74.0,"Sastra Indonesia, Cerita Pendek, Fiksi, Sastra, Novel, Indonesian Literature",Kepustakaan Populer Gramedia,2007,2007_Kepustakaan_Populer__Rumah_Bambu_Kumpulan_Cerpen_Pe.jpg,,,,,,,,,3.749839032961553
Rara Mendut: Sebuah Trilogi,Y.B. Mangunwijaya,4.2,838.0,58.0,"Novel, Sastra Indonesia, Fiksi, Fiksi Historis, Historis, Budaya, Roman, Indonesian Literature",PT Gramedia Pustaka Utama,2008,2008_PT_Gramedia_Pustaka__Rara_Mendut_Sebuah_Trilogi.jpg,,,,,,,,,4.1181356791908375
