JUDUL,PENULIS,RATING_AVG,TOTAL_RATINGS,TOTAL_REVIEWS,GENRES,PENERBIT,TAHUN_TERBIT,NAMA_FILE_GAMBAR,warna_h,warna_s,warna_v,warna_r,warna_g,warna_b,warna_kategori,warna_hex_dominan,POPULARITY_SCORE
Abracadabra,Danarto,4.0,52.0,3.0,"Sastra Indonesia, Indonesian Literature",Metafor Publishing,2001,2001_Metafor_Publishing_Abracadabra.jpg,15.0,93.0,11.0,11.0,9.0,7.0,Hitam,#0b0907,3.899101668477277
Indonesia For Sale,Dandhy Dwi Laksono,4.23,115.0,19.0,Indonesian Literature,Pedati,2009,2009_Pedati_Indonesia_For_Sale.jpg,120.0,2.0,233.0,231.0,231.0,233.0,Abu-abu/Putih,#e7e7e9,3.980255892066471
Revolusi: Indonesië en het ontstaan van de moderne wereld,David Van Reybrouck,4.53,4677.0,634.0,"Sejarah, Nonfiksi, Politik, Asia, Buku Audio, Perang, Historis, Indonesian Literature",De Bezige Bij,2020,2020_De_Bezige_Bij_Revolusi_Indonesië_en_het_onts.jpg,13.0,35.0,252.0,252.0,232.0,217.0,Abu-abu/Putih,#fce8d9,3.889815667068613
Misa Arwah & puisi-puisi lainnya,Dea Anugrah,3.81,211.0,33.0,"Puisi, Sastra Indonesia, Indonesian Literature",Indie Book Corner,2015,2015_Indie_Book_Corner_Misa_Arwah_&_puisi-puisi_lainn.jpg,16.0,222.0,246.0,246.0,146.0,32.0,Oranye/Cokelat,#f69220,3.851031373049217
Bakat Menggonggong: Kumpulan Cerita Pendek,Dea Anugrah,3.77,644.0,144.0,"Fiksi, Cerita Pendek, Sastra Indonesia, Indonesian Literature",Buku Mojok,2016,2016_Buku_Mojok_Bakat_Menggonggong_Kumpulan_Ce.jpg,30.0,5.0,48.0,48.0,48.0,47.0,Abu-abu/Putih,#30302f,3.804391582499728
Supernova: Petir,Dee Lestari,3.97,9768.0,819.0,"Fiksi, Sastra Indonesia, Novel, Fantasi, Fiksi Ilmiah, Roman, Sastra, Indonesian Literature",AKOER - Andal Krida Nusantara,2004,2004_AKOER_-_Andal_Krida__Supernova_Petir.jpg,176.0,208.0,219.0,219.0,40.0,65.0,Merah,#db2841,3.8836494362711504
"Supernova: Ksatria, Puteri, dan Bintang Jatuh",Dee Lestari,3.88,15471.0,1.0,"Fiksi, Sastra Indonesia, Novel, Roman, Fantasi, Fiksi Ilmiah, Sastra, Indonesian Literature",Truedee Books,2001,"2001_Truedee_Books_Supernova_Ksatria,_Puteri,_dan.jpg",107.0,8.0,236.0,229.0,232.0,236.0,Abu-abu/Putih,#e5e8ec,3.880915182803191
Supernova: Akar,Dee Lestari,3.88,10782.0,838.0,"Fiksi, Sastra Indonesia, Novel, Fantasi, Fiksi Ilmiah, Roman, Petualangan, Indonesian Literature",Truedee Books,2002,2002_Truedee_Books_Supernova_Akar.jpg,19.0,59.0,206.0,206.0,189.0,158.0,Oranye/Cokelat,#cebd9e,3.880930474078098
Rectoverso,Dee Lestari,3.9,7467.0,764.0,"Fiksi, Sastra Indonesia, Cerita Pendek, Roman, Novel, Puisi, Antologi, Indonesian Literature",Goodfaith,2008,2008_Goodfaith_Rectoverso.jpg,179.0,24.0,211.0,211.0,191.0,192.0,Abu-abu/Putih,#d3bfc0,3.88141247044007
Rapijali 3: Kembali,Dee Lestari,4.41,1073.0,253.0,"Fiksi, Roman, Sastra Indonesia, Novel, Remaja, Musik, Persahabatan, Indonesian Literature",Bentang Pustaka,2021,2021_Bentang_Pustaka_Rapijali_3_Kembali.jpg,19.0,169.0,236.0,236.0,178.0,80.0,Oranye/Cokelat,#ecb250,3.882785338046066
Rapijali 2: Menjadi,Dee Lestari,4.34,1387.0,269.0,"Fiksi, Remaja, Roman, Novel, Sastra Indonesia, Musik, Persahabatan, Indonesian Literature",Storial,2021,2021_Storial_Rapijali_2_Menjadi.jpg,19.0,154.0,210.0,210.0,164.0,83.0,Oranye/Cokelat,#d2a453,3.882544166642104
Rapijali 1: Mencari,Dee Lestari,4.14,2048.0,473.0,"Fiksi, Remaja, Novel, Sastra Indonesia, Roman, Keluarga, Drama, Indonesian Literature",Storial,2021,2021_Storial_Rapijali_1_Mencari.jpg,163.0,247.0,240.0,240.0,8.0,143.0,Ungu/Merah Muda,#f0088f,3.882741439889685
Perahu Kertas,Dee Lestari,4.0,18959.0,1.0,"Roman, Fiksi, Novel, Sastra Indonesia, Remaja, Contemporary, Persahabatan, Indonesian Literature",Bentang Pustaka & Truedee,2009,2009_Bentang_Pustaka_&_Tr_Perahu_Kertas.jpg,5.0,143.0,242.0,242.0,130.0,106.0,Merah,#f2826a,3.8879363527025896
Perahu Kertas,Dee Lestari,4.0,654.0,1.0,"Roman, Fiksi, Novel, Sastra Indonesia, Remaja, Contemporary, Persahabatan, Indonesian Literature",Bentang Pustaka & Truedee,2009,2009_Bentang_Pustaka_&_Tr_Perahu_Kertas.jpg,5.0,143.0,242.0,242.0,130.0,106.0,Merah,#f2826a,3.8879363527025896
Partikel,Dee Lestari,4.21,7218.0,771.0,"Fiksi, Sastra Indonesia, Novel, Fantasi, Fiksi Ilmiah, Roman, Petualangan, Indonesian Literature",Bentang Pustaka,2012,2012_Bentang_Pustaka_Partikel.jpg,51.0,36.0,50.0,45.0,50.0,43.0,Abu-abu/Putih,#2d322b,3.8887373649548382
Madre: Kumpulan Cerita,Dee Lestari,3.8,8270.0,834.0,"Fiksi, Sastra Indonesia, Cerita Pendek, Novel, Roman, Antologi, Sastra, Indonesian Literature",Bentang Pustaka,2011,2011_Bentang_Pustaka_Madre_Kumpulan_Cerita.jpg,17.0,167.0,240.0,240.0,171.0,83.0,Oranye/Cokelat,#f0ab53,3.878783664820423
Inteligensi Embun Pagi,Dee Lestari,4.14,3778.0,594.0,"Fiksi, Fantasi, Sastra Indonesia, Novel, Fiksi Ilmiah, Petualangan, Roman, Indonesian Literature",Bentang Pustaka,2016,2016_Bentang_Pustaka_Inteligensi_Embun_Pagi.jpg,16.0,108.0,199.0,199.0,160.0,115.0,Oranye/Cokelat,#c7a073,3.883621708701012
Gelombang,Dee Lestari,4.15,4945.0,621.0,"Fiksi, Fantasi, Sastra Indonesia, Novel, Fiksi Ilmiah, Petualangan, Dewasa, Indonesian Literature",Bentang Pustaka,2014,2014_Bentang_Pustaka_Gelombang.jpg,90.0,2.0,239.0,237.0,239.0,239.0,Abu-abu/Putih,#edefef,3.8846323763610258
Filosofi Kopi: Kumpulan Cerita dan Prosa Satu Dekade,Dee Lestari,3.87,11616.0,1.0,"Fiksi, Sastra Indonesia, Cerita Pendek, Novel, Roman, Sastra, Antologi, Indonesian Literature",Truedee Books & Gagas Media,2007,2007_Truedee_Books_&_Gaga_Filosofi_Kopi_Kumpulan_Cerita_.jpg,0.0,0.0,254.0,254.0,254.0,254.0,Abu-abu/Putih,#fefefe,3.880561013714807
Aroma Karsa,Dee Lestari,4.56,7938.0,1.0,"Fantasi, Fiksi, Roman, Sastra Indonesia, Novel, Petualangan, Misteri, Indonesian Literature",Bentang Pustaka,2018,2018_Bentang_Pustaka_Aroma_Karsa.jpg,24.0,68.0,247.0,247.0,234.0,181.0,Oranye/Cokelat,#f7eab5,3.897007407148931
Semua Melawan Ahok,Denny Siregar,3.96,28.0,6.0,"Nonfiksi, Indonesian Literature",,2016,2016__Semua_Melawan_Ahok.jpg,12.0,132.0,239.0,239.0,166.0,115.0,Merah,#efa673,3.887938358921578
Woke Up as a Villainess,Despersa,3.98,327.0,71.0,"Roman, Fantasi, Cinta, Fiksi, Indonesian Literature",Namina Books ,2021,2021_Namina_Books_Woke_Up_as_a_Villainess.jpg,23.0,152.0,251.0,251.0,214.0,101.0,Oranye/Cokelat,#fbd665,3.933514717026971
Anak Kos Dodol Lagi,Dewi Dedew Rieka,3.8,453.0,30.0,"Humor, Komedi, Sastra Indonesia, Nonfiksi, Indonesian Literature",Gradien Mediatama,2008,2008_Gradien_Mediatama_Anak_Kos_Dodol_Lagi.jpg,97.0,80.0,200.0,137.0,186.0,200.0,Biru,#89bac8,3.831550615517508
Anak Kos Dodol,Dewi Dedew Rieka,3.71,959.0,93.0,"Komedi, Humor, Sastra Indonesia, Remaja, Novel, Fiksi, Persahabatan, Indonesian Literature",Gradien Mediatama,2008,2008_Gradien_Mediatama_Anak_Kos_Dodol.jpg,177.0,221.0,226.0,226.0,30.0,47.0,Merah,#e21e2f,3.749616218199776
Surat Panjang Tentang Jarak Kita yang Jutaan Tahun Cahaya,Dewi Kharisma Michellia,3.57,622.0,158.0,"Sastra Indonesia, Novel, Fiksi, Roman, Contemporary, Dewasa, Indonesian Literature",Gramedia Pustaka Utama,2013,2013_Gramedia_Pustaka_Uta_Surat_Panjang_Tentang_Jarak_Ki.jpg,15.0,78.0,235.0,235.0,199.0,163.0,Oranye/Cokelat,#ebc7a3,3.668706111789159
Kekasih Marionette dan 12 Kisah Lainnya,Dewi Ria Utari,3.29,104.0,35.0,"Cerita Pendek, Sastra Indonesia, Fiksi, Sastra Asia, Drama, Indonesian Literature",Gramedia Pustaka Utama,2009,2009_Gramedia_Pustaka_Uta_Kekasih_Marionette_dan_12_Kisa.jpg,151.0,180.0,88.0,88.0,26.0,86.0,Ungu/Merah Muda,#581a56,3.724675001571191
Ranah Sembilan,Dewi Sartika,3.54,24.0,4.0,"Sastra Indonesia, Indonesian Literature",Sembilan Publishing,2008,2008_Sembilan_Publishing_Ranah_Sembilan.jpg,111.0,15.0,239.0,225.0,229.0,239.0,Abu-abu/Putih,#e1e5ef,3.854839407399428
Perempuan yang Menunggu di Lorong Menuju Laut,Dian Purnomo,3.96,366.0,104.0,"Fiksi, Feminisme, Sastra Indonesia, Novel, Indonesian Literature",Gramedia Pustaka Utama,2023,2023_Gramedia_Pustaka_Uta_Perempuan_yang_Menunggu_di_Lor.jpg,16.0,42.0,156.0,156.0,144.0,130.0,Abu-abu/Putih,#9c9082,3.925110178356155
Perempuan yang Menangis kepada Bulan Hitam,Dian Purnomo,4.59,3866.0,1.0,"Fiksi, Feminisme, Sastra Indonesia, Novel, Contemporary, Perempuan, Dewasa, Indonesian Literature",Gramedia Pustaka Utama,2020,2020_Gramedia_Pustaka_Uta_Perempuan_yang_Menangis_kepada.jpg,42.0,28.0,153.0,146.0,153.0,136.0,Abu-abu/Putih,#929988,3.888241041464058
Birth Canal,Dias Novita Wuri,3.63,253.0,59.0,"Cerita Pendek, Fiksi Historis, Fiksi, Asia, Sastra Indonesia, Contemporary, Fiksi Terjemahan, Indonesian Literature",Scribe US,2023,2023_Scribe_US_Birth_Canal.jpg,179.0,136.0,237.0,237.0,111.0,117.0,Merah,#ed6f75,3.763869883573759
Lichter dan ik,Dido Michielsen,4.31,4406.0,668.0,"Fiksi Historis, Fiksi, Roman, Historis, Novel, Sastra Indonesia, Sastra Belanda, Indonesian Literature",Hollands Diep,2019,2019_Hollands_Diep_Lichter_dan_ik.jpg,21.0,65.0,252.0,252.0,233.0,188.0,Oranye/Cokelat,#fce9bc,3.886814814553694
Ode untuk Leopold von Sacher Masoch,Dinar Rahayu,2.0,56.0,20.0,"Novel, Sastra Indonesia, Fiksi, Indonesian Literature",Pustaka Jaya ,2002,2002_Pustaka_Jaya_Ode_untuk_Leopold_von_Sacher_M.jpg,111.0,206.0,21.0,4.0,9.0,21.0,Hitam,#040915,3.575868050305201
Gone - Misteri Hilangnya Para Petualang,Dini Ocktarina,3.74,133.0,17.0,"Horor, Indonesian Literature",DAR! Mizan,2011,2011_DAR!_Mizan_Gone_-_Misteri_Hilangnya_Para_.jpg,9.0,84.0,58.0,58.0,45.0,39.0,Merah,#3a2d27,3.836562331244217
T(w)ITIT!,Djenar Maesa Ayu,3.15,319.0,47.0,"Sastra Indonesia, Cerita Pendek, Novel, Fiksi, Indonesian Literature",Gramedia Pustaka Utama,2012,2012_Gramedia_Pustaka_Uta_T(w)ITIT!.jpg,9.0,105.0,165.0,165.0,118.0,97.0,Merah,#a57661,3.497605333938135
Saia,Djenar Maesa Ayu,3.39,396.0,54.0,"Sastra Indonesia, Cerita Pendek, Dewasa, Fiksi, Indonesian Literature",Gramedia Pustaka Utama,2014,2014_Gramedia_Pustaka_Uta_Saia.jpg,8.0,199.0,242.0,242.0,103.0,53.0,Merah,#f26735,3.597239612357345
Nayla,Djenar Maesa Ayu,3.29,1456.0,164.0,"Novel, Sastra Indonesia, Fiksi, Sastra, Feminisme, Dewasa, Drama, Indonesian Literature",Gramedia Pustaka Utama,2005,2005_Gramedia_Pustaka_Uta_Nayla.jpg,9.0,129.0,214.0,214.0,137.0,106.0,Merah,#d6896a,3.878926595582672
"Mereka Bilang, Saya Monyet!",Djenar Maesa Ayu,3.27,2233.0,216.0,"Sastra Indonesia, Fiksi, Cerita Pendek, Novel, Sastra, Dewasa, Feminisme, Indonesian Literature",Gramedia Pustaka Utama,2002,"2002_Gramedia_Pustaka_Uta_Mereka_Bilang,_Saya_Monyet!.jpg",150.0,1.0,237.0,237.0,236.0,237.0,Abu-abu/Putih,#edeced,3.8767671909626458
Jangan Main-Main,Djenar Maesa Ayu,3.29,1420.0,174.0,"Fiksi, Sastra Indonesia, Novel, Cerita Pendek, Dewasa, Sastra, Feminisme, Indonesian Literature",Gramedia Pustaka Utama,2007,2007_Gramedia_Pustaka_Uta_Jangan_Main-Main.jpg,11.0,127.0,201.0,201.0,136.0,101.0,Merah,#c98865,3.878926595582672
Cerita Pendek Tentang Cerita Cinta Pendek,Djenar Maesa Ayu,3.41,880.0,86.0,"Fiksi, Sastra Indonesia, Cerita Pendek, Novel, Sastra, Dewasa, Indonesian Literature",Gramedia Pustaka Utama,2006,2006_Gramedia_Pustaka_Uta_Cerita_Pendek_Tentang_Cerita_C.jpg,0.0,0.0,243.0,243.0,243.0,243.0,Abu-abu/Putih,#f3f3f3,3.526507115131812
1 Perempuan 14 Laki-Laki,Djenar Maesa Ayu,3.12,681.0,74.0,"Cerita Pendek, Fiksi, Sastra Indonesia, Indonesian Literature",Gramedia,2011,2011_Gramedia_1_Perempuan_14_Laki-Laki.jpg,2.0,46.0,78.0,78.0,65.0,64.0,Abu-abu/Putih,#4e4140,3.346857453612853
Setan van Oyot,Djokolelono,4.03,262.0,83.0,"Fiksi Historis, Fiksi, Sastra Indonesia, Historis, Novel, Indonesian Literature",Marjin Kiri,2019,2019_Marjin_Kiri_Setan_van_Oyot.jpg,103.0,238.0,137.0,9.0,83.0,137.0,Biru,#095389,3.951797631506341
Aku Tak Marah,Djokolelono,3.3,56.0,17.0,"Fiksi, Indonesian Literature",Moka Media,2014,2014_Moka_Media_Aku_Tak_Marah.jpg,27.0,110.0,151.0,151.0,145.0,86.0,Kuning,#979156,3.786729744729531
5 cm,Donny Dhirgantoro,3.89,15571.0,1.0,"Novel, Fiksi, Sastra Indonesia, Roman, Petualangan, Persahabatan, Perjalanan, Indonesian Literature",Grasindo,2005,2005_Grasindo_5_cm.jpg,176.0,13.0,134.0,134.0,127.0,128.0,Abu-abu/Putih,#867f80,3.881408198415352
2,Donny Dhirgantoro,3.56,2032.0,190.0,"Novel, Fiksi, Sastra Indonesia, Roman, Keluarga, Inspiratif, Kehidupan Sehari-hari, Indonesian Literature",Grasindo,2011,2011_Grasindo_2.jpg,158.0,41.0,25.0,25.0,21.0,24.0,Hitam,#191518,3.878758607271658
Kill the Radio - Sebuah Radio Kumatikan,Dorothea Rosa Herliany,3.8,69.0,10.0,"Puisi, Sastra Indonesia, Indonesian Literature",IndonesiaTera,2001,2001_IndonesiaTera_Kill_the_Radio_-_Sebuah_Radio_.jpg,18.0,164.0,238.0,238.0,175.0,85.0,Oranye/Cokelat,#eeaf55,3.8653690003290175
Isinga: Roman Papua,Dorothea Rosa Herliany,3.7,133.0,38.0,"Sastra Indonesia, Novel, Indonesian Literature",Gramedia Pustaka Utama,2015,2015_Gramedia_Pustaka_Uta_Isinga_Roman_Papua.jpg,0.0,36.0,7.0,7.0,6.0,6.0,Hitam,#070606,3.823963160137053
Catatan-Catatan Rendra Tahun 1960-an,Dwi Klik Santosa,3.67,12.0,2.0,"Sastra Indonesia, Indonesian Literature",Burung Merak Press,2005,2005_Burung_Merak_Press_Catatan-Catatan_Rendra_Tahun_1.jpg,113.0,80.0,86.0,59.0,65.0,86.0,Biru,#3b4156,3.8725591514286166
TwinWar,Dwipatra,3.93,204.0,89.0,"Sastra Indonesia, Keluarga, Fiksi, Remaja, Roman, Indonesian Literature",Gramedia Pustaka Utama,2017,2017_Gramedia_Pustaka_Uta_TwinWar.jpg,30.0,1.0,252.0,252.0,252.0,251.0,Abu-abu/Putih,#fcfcfb,3.901243678394061
Il Tiramisu,Dy Lunaly,3.52,126.0,38.0,"Roman, Sastra Indonesia, Indonesian Literature",Bentang Pustaka,2016,2016_Bentang_Pustaka_Il_Tiramisu.jpg,147.0,232.0,122.0,110.0,11.0,122.0,Ungu/Merah Muda,#6e0b7a,3.7714351459792193
Dealova,Dyan Nuranindya,3.47,3692.0,262.0,"Roman, Sastra Indonesia, Novel, Fiksi, Remaja, Contemporary, Cinta, Indonesian Literature",PT Gramedia Pustaka Utama,2004,2004_PT_Gramedia_Pustaka__Dealova.jpg,176.0,33.0,61.0,61.0,53.0,54.0,Abu-abu/Putih,#3d3536,3.876744035476033
"Youthquake: Anak Muda, Identitas, dan Segala Sesuatu di Antaranya",Dyana Savina Hutadjulu,3.67,3.0,1.0,Indonesian Literature,Elex Media Komputindo,2025,"2025_Elex_Media_Komputind_Youthquake_Anak_Muda,_Identita.jpg",0.0,0.0,254.0,254.0,254.0,254.0,Abu-abu/Putih,#fefefe,3.878797072259609
Rahasia Meede: Misteri Harta Karun VOC,E.S. Ito,4.04,1779.0,272.0,"Sastra Indonesia, Novel, Fiksi, Thriller, Fiksi Historis, Misteri, Petualangan, Indonesian Literature",Hikmah,2007,2007_Hikmah_Rahasia_Meede_Misteri_Harta_Ka.jpg,90.0,18.0,14.0,13.0,14.0,14.0,Hitam,#0d0e0e,3.881510574910838
Gita Cinta dari SMA,Eddy D. Iskandar,3.78,78.0,11.0,"Cinta, Indonesian Literature",Gagas Media,2004,2004_Gagas_Media_Gita_Cinta_dari_SMA.jpg,4.0,184.0,159.0,159.0,58.0,44.0,Merah,#9f3a2c,3.859519249470036
Love Bites,Edith PS,3.07,85.0,37.0,"Roman, Fiksi, Novel, Keluarga, Sastra Indonesia, Indonesian Literature",Gramedia Pustaka Utama,2014,2014_Gramedia_Pustaka_Uta_Love_Bites.jpg,23.0,136.0,233.0,233.0,204.0,109.0,Oranye/Cokelat,#e9cc6d,3.696776070455232
Their Story,Egi Mugia,4.0,30.0,7.0,"Roman, Komik, Indonesian Literature",m&c!,2021,2021_m&c!_Their_Story.jpg,100.0,6.0,247.0,241.0,245.0,247.0,Abu-abu/Putih,#f1f5f7,3.8921486119588735
Tragedimu Komediku,Eka Kurniawan,4.06,51.0,12.0,"Nonfiksi, Sastra Indonesia, Indonesian Literature",Pojok Cerpen,2023,2023_Pojok_Cerpen_Tragedimu_Komediku.jpg,160.0,115.0,60.0,60.0,33.0,51.0,Ungu/Merah Muda,#3c2133,3.90779851393937
"Seperti Dendam, Rindu Harus Dibayar Tuntas",Eka Kurniawan,3.95,6930.0,1.0,"Fiksi, Novel, Sastra Indonesia, Contemporary, Asia, Roman, Sastra, Indonesian Literature",Gramedia Pustaka Utama,2014,"2014_Gramedia_Pustaka_Uta_Seperti_Dendam,_Rindu_Harus_Di.jpg",33.0,9.0,243.0,242.0,243.0,234.0,Abu-abu/Putih,#f2f3ea,3.88236560327814
Perempuan Patah Hati yang Kembali Menemukan Cinta Melalui Mimpi,Eka Kurniawan,3.9,2135.0,387.0,"Fiksi, Cerita Pendek, Sastra Indonesia, Novel, Contemporary, Dewasa, Drama, Indonesian Literature",Bentang Pustaka,2015,2015_Bentang_Pustaka_Perempuan_Patah_Hati_yang_Kemb.jpg,144.0,5.0,232.0,231.0,227.0,232.0,Abu-abu/Putih,#e7e3e8,3.881093371220156
O,Eka Kurniawan,4.09,1771.0,381.0,"Fiksi, Novel, Sastra Indonesia, Fantasi, Realisme Magis, Contemporary, Dewasa, Indonesian Literature",Gramedia Pustaka Utama,2016,2016_Gramedia_Pustaka_Uta_O.jpg,27.0,9.0,243.0,243.0,242.0,234.0,Abu-abu/Putih,#f3f2ea,3.881682840199382
Man Tiger,Eka Kurniawan,4.04,7534.0,1.0,"Fiksi, Realisme Magis, Sastra Indonesia, Asia, Contemporary, Novel, Fantasi, Indonesian Literature",Verso Books,2015,2015_Verso_Books_Man_Tiger.jpg,78.0,5.0,244.0,239.0,244.0,242.0,Abu-abu/Putih,#eff4f2,3.8847204873177072
Kumpulan Budak Setan,Eka Kurniawan,3.75,891.0,214.0,"Cerita Pendek, Horor, Fiksi, Sastra Indonesia, Thriller, Misteri, Antologi, Indonesian Literature",PT Gramedia Pustaka Utama,2010,2010_PT_Gramedia_Pustaka__Kumpulan_Budak_Setan.jpg,173.0,4.0,252.0,252.0,248.0,249.0,Abu-abu/Putih,#fcf8f9,3.782095695291566
Kitchen Curse,Eka Kurniawan,3.52,795.0,131.0,"Cerita Pendek, Fiksi, Realisme Magis, Horor, Contemporary, Sastra Indonesia, Sastra Asia, Indonesian Literature",Verso,2019,2019_Verso_Kitchen_Curse.jpg,30.0,1.0,254.0,254.0,254.0,253.0,Abu-abu/Putih,#fefefd,3.616295544724806
Corat Coret di Toilet,Eka Kurniawan,3.78,2457.0,434.0,"Fiksi, Cerita Pendek, Sastra Indonesia, Antologi, Novel, Buku Digital, Sastra, Indonesian Literature",AKSARA Indonesia,2000,2000_AKSARA_Indonesia_Corat_Coret_di_Toilet.jpg,6.0,95.0,233.0,233.0,164.0,146.0,Merah,#e9a492,3.8802693368853927
Cinta Tak Ada Mati,Eka Kurniawan,3.92,1030.0,228.0,"Fiksi, Cerita Pendek, Sastra Indonesia, Novel, Antologi, Sastra, Dewasa, Indonesian Literature",Gramedia Pustaka Utama,2005,2005_Gramedia_Pustaka_Uta_Cinta_Tak_Ada_Mati.jpg,6.0,208.0,104.0,104.0,35.0,19.0,Merah,#682313,3.881097138218332
Beauty Is a Wound,Eka Kurniawan,4.05,18645.0,3.0,"Fiksi, Fiksi Historis, Realisme Magis, Asia, Sastra Indonesia, Novel, Historis, Indonesian Literature",New Directions,2015,2015_New_Directions_Beauty_Is_a_Wound.jpg,5.0,39.0,207.0,207.0,180.0,175.0,Abu-abu/Putih,#cfb4af,3.890865563443029
"Anjing Mengeong, Kucing Menggonggong",Eka Kurniawan,3.76,678.0,187.0,"Novel, Fiksi, Sastra Indonesia, Asia, Fiksi Sastra, Indonesian Literature",Gramedia Pustaka Utama,2024,"2024_Gramedia_Pustaka_Uta_Anjing_Mengeong,_Kucing_Menggo.jpg",30.0,2.0,235.0,235.0,235.0,233.0,Abu-abu/Putih,#ebebe9,3.796173113846338
Renjana,ElAlicia,4.13,468.0,106.0,"Roman, Fiksi Historis, Fantasi, Historis, Sastra Indonesia, Dewasa, Fiksi, Indonesian Literature",KataDepan,2021,2021_KataDepan_Renjana.jpg,126.0,49.0,124.0,105.0,100.0,124.0,Abu-abu/Putih,#69647c,4.034874142446841
Area X: Hymne Angkasa Raya,Eliza V. Handayani,3.7,474.0,81.0,"Fiksi, Sastra Indonesia, Fiksi Ilmiah, Novel, Fantasi, Remaja, Teori Konspirasi, Indonesian Literature",DAR! Mizan,2003,2003_DAR!_Mizan_Area_X_Hymne_Angkasa_Raya.jpg,23.0,77.0,211.0,211.0,196.0,147.0,Oranye/Cokelat,#d3c493,3.768579684726984
Centhini: Kekasih yang Tersembunyi,Elizabeth D. Inandiak,4.04,280.0,49.0,"Fiksi, Sastra Indonesia, Novel, Puisi, Filsafat, Indonesian Literature",Babad Alas (Yayasan Lokaloka),2008,2008_Babad_Alas_(Yayasan__Centhini_Kekasih_yang_Tersembu.jpg,30.0,1.0,252.0,252.0,252.0,251.0,Abu-abu/Putih,#fcfcfb,3.959189186416989
Kagum pada Orang Indonesia,Emha Ainun Nadjib,3.86,155.0,56.0,"Nonfiksi, Sastra Indonesia, Humor, Indonesian Literature",Progress,2008,2008_Progress_Kagum_pada_Orang_Indonesia.jpg,80.0,4.0,213.0,210.0,213.0,212.0,Abu-abu/Putih,#d2d5d4,3.87364872114321
Sala Dewi,Emil Amir,3.7,79.0,29.0,"Cerita Pendek, Fiksi, Antologi, Sastra Indonesia, Dewasa, Indonesian Literature",Indonesia Tera,2020,2020_Indonesia_Tera_Sala_Dewi.jpg,88.0,22.0,220.0,201.0,220.0,219.0,Abu-abu/Putih,#c9dcdb,3.84214105734656
Of Bees and Mist,Erick Setiawan,3.75,7866.0,1.0,"Fantasi, Fiksi, Realisme Magis, Roman, Klub Buku, Contemporary, Paranormal, Indonesian Literature",Simon & Schuster,2009,2009_Simon_&_Schuster_Of_Bees_and_Mist.jpg,18.0,14.0,243.0,243.0,238.0,230.0,Abu-abu/Putih,#f3eee6,3.877868166642602
Mitos dan Fakta Kesehatan 2,Erikar Lebang,4.29,34.0,6.0,"Nonfiksi, Sastra Indonesia, Indonesian Literature",Penerbit Kompas,2014,2014_Penerbit_Kompas_Mitos_dan_Fakta_Kesehatan_2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,Hitam,#000000,3.923985906783823
Dear Nathan,Erisca Febriani,3.79,6141.0,395.0,"Roman, Novel, Fiksi, Sastra Indonesia, Remaja, Drama, Roman Remaja, Indonesian Literature",Best Media,2016,2016_Best_Media_Dear_Nathan.jpg,170.0,46.0,66.0,66.0,54.0,58.0,Abu-abu/Putih,#42363a,3.8791141214830502
Haniyah dan Ala di Rumah Teteruga,Erni Aladjai,4.18,344.0,111.0,"Novel, Fiksi, Sastra Indonesia, Fiksi Historis, Realisme Magis, Historis, Sastra, Indonesian Literature",Kepustakaan Populer Gramedia,2021,2021_Kepustakaan_Populer__Haniyah_dan_Ala_di_Rumah_Teter.jpg,105.0,2.0,251.0,249.0,250.0,251.0,Abu-abu/Putih,#f9fafb,4.043408518543815
Dari Kirara untuk Seekor Gagak,Erni Aladjai,2.88,121.0,41.0,"Sastra Indonesia, Indonesian Literature",PT. Gramedia Pustaka Utama,2014,2014_PT._Gramedia_Pustaka_Dari_Kirara_untuk_Seekor_Gagak.jpg,174.0,12.0,103.0,103.0,98.0,99.0,Abu-abu/Putih,#676263,3.5857366102812205
ghost dormitory in Vienna,Esa Kharina,4.04,26.0,4.0,Indonesian Literature,,2015,2015__ghost_dormitory_in_Vienna.jpg,111.0,11.0,230.0,220.0,223.0,230.0,Abu-abu/Putih,#dcdfe6,3.894079125671279
Still...,Esti Kinasih,3.83,2962.0,181.0,"Roman, Sastra Indonesia, Fiksi, Remaja, Novel, Contemporary, Persahabatan, Indonesian Literature",Gramedia Pustaka Utama ,2006,2006_Gramedia_Pustaka_Uta_Still....jpg,30.0,1.0,254.0,254.0,254.0,253.0,Abu-abu/Putih,#fefefd,3.880612684524877
Jingga dan Senja,Esti Kinasih,4.07,5352.0,379.0,"Roman, Sastra Indonesia, Fiksi, Novel, Remaja, Contemporary, Persahabatan, Indonesian Literature",Gramedia Pustaka Utama,2010,2010_Gramedia_Pustaka_Uta_Jingga_dan_Senja.jpg,24.0,25.0,51.0,51.0,50.0,46.0,Abu-abu/Putih,#33322e,3.884174832176281
Jingga Dalam Elegi,Esti Kinasih,4.15,4958.0,288.0,"Roman, Sastra Indonesia, Fiksi, Remaja, Novel, Contemporary, Persahabatan, Indonesian Literature",Gramedia,2011,2011_Gramedia_Jingga_Dalam_Elegi.jpg,20.0,3.0,253.0,253.0,252.0,250.0,Abu-abu/Putih,#fdfcfa,3.8846323763610258
